Mean,Median,StdDev,Variance,RMS,Max,Skewness,Kurtosis
-0.005560105,0.01338481,0.083343789,0.006946187,0.083523973,0.399177,0.52837841,1.735003768
-0.005164227,0.01342989,0.082993435,0.00688791,0.083148895,0.3899338,0.52242684,1.700959474
-0.00524251,0.01286444,0.083173826,0.006917885,0.083333816,0.3932613,0.53889766,1.808902779
-0.005155974,0.013397095,0.082938976,0.006878874,0.083094032,0.3979173,0.521658243,1.703941825
-0.00525049,0.01394173,0.082957123,0.006881884,0.08311806,0.3974274,0.505466157,1.633887119
-0.00519137,0.01367045,0.082950176,0.006880732,0.083107413,0.3970603,0.497866572,1.600898549
-0.005654373,0.01265467,0.083322425,0.006942626,0.083508987,0.3956029,0.519667142,1.695995839
-0.00593074,0.01235042,0.082793617,0.006854783,0.083000723,0.4007097,0.495549494,1.603970581
-0.005802441,0.012856285,0.083124407,0.006909667,0.083321617,0.3958764,0.51039195,1.718496086
-0.005541219,0.01307215,0.083019857,0.006892297,0.083199522,0.3888209,0.494789099,1.606477483
-0.005023002,0.014154695,0.082856378,0.006865179,0.083003445,0.3860023,0.490869123,1.573589942
-0.005834629,0.01374042,0.082890084,0.006870766,0.083090133,0.3905615,0.515233448,1.717008605
-0.00571657,0.012730725,0.082500764,0.006806376,0.082693557,0.3812374,0.495721453,1.581911686
-0.005909112,0.01419306,0.083096495,0.006905028,0.083301274,0.3901653,0.51002291,1.714711141
-0.005668755,0.01323076,0.083345393,0.006946455,0.083532876,0.3882726,0.506999846,1.652793078
-0.006179051,0.011664135,0.08314449,0.006913006,0.083368718,0.3987708,0.518427378,1.683917798
-0.005578444,0.01329546,0.083030936,0.006894136,0.083213063,0.3962538,0.512118359,1.664072563
-0.004957723,0.013930545,0.082930683,0.006877498,0.083073688,0.3874734,0.495239475,1.620027761
-0.004920601,0.013604165,0.083274403,0.006934626,0.083414579,0.3882028,0.523040705,1.712293322
-0.005232886,0.013194755,0.082916474,0.006875142,0.083076383,0.3937571,0.49720522,1.626551869
-0.005147938,0.01362912,0.082967961,0.006883683,0.083122461,0.3711855,0.490502529,1.472646412
-0.005514714,0.01293521,0.083105096,0.006906457,0.083282808,0.386245,0.497313083,1.594440071
-0.005275403,0.013679115,0.082809033,0.006857336,0.082971856,0.38857,0.509736535,1.665310174
-0.005769441,0.013385465,0.083072824,0.006901094,0.083267869,0.3935176,0.504546044,1.667913569
-0.006229573,0.012254165,0.082994498,0.006888087,0.083222914,0.396942,0.502020547,1.617880073
-0.006069967,0.012733195,0.082696489,0.006838709,0.082913925,0.3956463,0.481524536,1.474970278
-0.006328747,0.012317525,0.083030006,0.006893982,0.0832658,0.395115,0.50986904,1.658721172
-0.006163364,0.012194575,0.082797012,0.006855345,0.083021055,0.3916337,0.508991488,1.637019883
-0.005711227,0.01324549,0.083068698,0.006900409,0.08325974,0.3890406,0.49750748,1.575895953
-0.005449089,0.012775385,0.08297804,0.006885355,0.083151712,0.3968742,0.485322203,1.518521417
-0.005456559,0.014021695,0.083293342,0.006937781,0.083466807,0.3924269,0.521142843,1.711096841
-0.005569715,0.013188335,0.082811771,0.006857789,0.082993819,0.3983655,0.511165412,1.653317754
-0.005753961,0.01336431,0.082649625,0.00683096,0.082844642,0.388071,0.513243001,1.691107126
-0.004968773,0.012740445,0.08252458,0.006810306,0.082669,0.3867659,0.484727182,1.508561859
-0.005244255,0.01354932,0.083147008,0.006913425,0.083307162,0.394787,0.508449528,1.632259344
-0.005411375,0.01306865,0.082972627,0.006884457,0.083143848,0.3946991,0.495814703,1.568078906
-0.005509768,0.013054115,0.082686744,0.006837098,0.082865074,0.3947251,0.487807599,1.554888634
-0.005551383,0.013178545,0.082744887,0.006846716,0.082925861,0.3876948,0.518495684,1.734091688
-0.005814459,0.01264352,0.082826525,0.006860233,0.08302532,0.3827651,0.50663105,1.672902474
-0.005764789,0.013020355,0.082935916,0.006878366,0.083130977,0.3860676,0.497245003,1.594242197
-0.005271463,0.0130767,0.082347416,0.006781097,0.082510953,0.3851669,0.496931992,1.631612094
-0.006009864,0.01245982,0.082964302,0.006883075,0.083176641,0.3957349,0.508827587,1.621177775
-0.005859092,0.01294278,0.082627058,0.006827231,0.082829501,0.3872353,0.50406984,1.625922079
-0.005966171,0.0123902,0.082939092,0.006878893,0.083148352,0.3950987,0.500494458,1.58233727
-0.00560158,0.01227185,0.082459002,0.006799487,0.082644024,0.387352,0.485206549,1.513413764
-0.006126513,0.012462635,0.083530763,0.006977388,0.083750049,0.3951577,0.513007394,1.648531749
-0.005638919,0.01323992,0.083143947,0.006912916,0.083329884,0.3922857,0.501227077,1.610692577
-0.004987046,0.01416469,0.082857907,0.006865433,0.083002803,0.3962052,0.523485828,1.802824643
-0.005589213,0.01336795,0.082960541,0.006882451,0.083143554,0.3851174,0.514693966,1.69926123
-0.005378711,0.012192705,0.082487481,0.006804185,0.082657634,0.3813697,0.489036623,1.548359352
-0.005600124,0.01252856,0.081544858,0.006649564,0.081731962,0.3975831,0.522502505,1.73936258
-0.006061477,0.010984315,0.082318438,0.006776325,0.082536292,0.3792303,0.49911891,1.638780468
-0.005001366,0.01353601,0.082056997,0.006733351,0.082204273,0.3901553,0.481596755,1.603174598
-0.005658895,0.01429794,0.083111259,0.006907481,0.083298627,0.3923602,0.496698162,1.675683421
-0.005906469,0.012858965,0.083079875,0.006902266,0.083284509,0.3829006,0.507432702,1.691444292
-0.006093917,0.011713335,0.082657504,0.006832263,0.082876805,0.3878208,0.488952021,1.572190227
-0.006041005,0.013142545,0.082780121,0.006852548,0.082995215,0.3800015,0.479860112,1.536083326
-0.005651401,0.011824625,0.082830664,0.006860919,0.083018189,0.3829055,0.50393418,1.625483659
-0.006102239,0.0116504,0.083004492,0.006889746,0.083223446,0.3862243,0.493262623,1.563680055
-0.00598301,0.01187577,0.083024554,0.006893077,0.083234798,0.3866862,0.493084598,1.557449362
-0.005076661,0.013448775,0.083286584,0.006936655,0.083436088,0.3966182,0.489936537,1.574886551
-0.005511078,0.013379545,0.082926621,0.006876824,0.083104494,0.3821177,0.499540062,1.620918588
-0.005998635,0.012259705,0.082933963,0.006878042,0.083145573,0.3793214,0.499107408,1.588898945
-0.006614039,0.011316505,0.082592079,0.006821452,0.08285146,0.3788477,0.477829094,1.442015362
-0.006318346,0.01270629,0.083080511,0.006902371,0.083315366,0.3997749,0.510594007,1.698535098
-0.0060091,0.01170657,0.082861096,0.006865961,0.083073656,0.38986,0.499994036,1.594818031
-0.006161994,0.01173257,0.083185294,0.006919793,0.083408145,0.3916425,0.504539977,1.628728966
-0.005955913,0.01134863,0.082606989,0.006823915,0.08281639,0.389087,0.479906398,1.487600989
-0.006166329,0.01225293,0.083093388,0.006904511,0.083316817,0.3866471,0.523807667,1.738177943
-0.005660689,0.01261851,0.082733288,0.006844797,0.082921678,0.382961,0.485221844,1.531315115
-0.005411892,0.012383505,0.082422467,0.006793463,0.082594929,0.4014856,0.473328646,1.467591682
-0.005440585,0.01391225,0.083190074,0.006920588,0.083362723,0.3911998,0.510093152,1.679809888
-0.005433348,0.01290729,0.082505844,0.006807214,0.08267953,0.3819196,0.492870632,1.553876176
