Mean,Median,StdDev,Variance,RMS,Max,Skewness,Kurtosis,FileName
-0.006870027,-0.002477372,0.025704277,0.00066071,0.026605009,0.08264691,0.066856042,-0.277487728,1000_FGBSBOTHFB
-0.006718709,-0.002146763,0.025753578,0.000663247,0.026614035,0.08339826,0.055893049,-0.324596826,1000_FGBSBOTHFB
-0.006833555,-0.002375422,0.02591609,0.000671644,0.026800359,0.08317443,0.062748326,-0.306288558,1000_FGBSBOTHFB
-0.0065228,-0.001926918,0.025871001,0.000669309,0.026679091,0.08392692,0.058378347,-0.30258281,1000_FGBSBOTHFB
-0.006088462,-0.001716719,0.025892308,0.000670412,0.026596976,0.08678012,0.065410449,-0.29795924,1000_FGBSBOTHFB
-0.005988584,-0.001489374,0.025902581,0.000670944,0.026584298,0.08621258,0.051604268,-0.290020116,1000_FGBSBOTHFB
-0.006056438,-0.001179215,0.025790088,0.000665129,0.026490147,0.08233761,0.051924703,-0.314606412,1000_FGBSBOTHFB
-0.006253807,-0.001611823,0.025626907,0.000656738,0.02637742,0.08979551,0.061775166,-0.276272243,1000_FGBSBOTHFB
-0.006529569,-0.001859712,0.025621912,0.000656482,0.026439317,0.08678581,0.055304688,-0.297449628,1000_FGBSBOTHFB
-0.006060354,-0.001612611,0.025845841,0.000668008,0.026545317,0.08351735,0.050232321,-0.32866537,1000_FGBSBOTHFB
-0.005799053,-0.001340069,0.02589385,0.000670491,0.026533727,0.08871688,0.059422538,-0.289619701,1000_FGBSBOTHFB
-0.005886889,-0.001313237,0.025926564,0.000672187,0.026584961,0.08781127,0.063018987,-0.29126095,1000_FGBSBOTHFB
-0.005952791,-0.001208662,0.025872167,0.000669369,0.026546621,0.08364848,0.06762959,-0.297668984,1000_FGBSBOTHFB
-0.005312792,-0.000568857,0.025890312,0.000670308,0.026428246,0.08751348,0.066586482,-0.287654934,1000_FGBSBOTHFB
-0.005705668,-0.00112464,0.025920773,0.000671886,0.026539765,0.08492388,0.072040284,-0.290821788,1000_FGBSBOTHFB
-0.006294491,-0.001758006,0.025818342,0.000666587,0.026573032,0.08516885,0.069997668,-0.266569624,1000_FGBSBOTHFB
-0.006451088,-0.001784235,0.02586658,0.00066908,0.02665736,0.08484279,0.058443209,-0.296852468,1000_FGBSBOTHFB
-0.006227546,-0.001530458,0.025885351,0.000670051,0.026622396,0.0880458,0.050786861,-0.307963321,1000_FGBSBOTHFB
-0.005898409,-0.00107951,0.025984058,0.000675171,0.026643575,0.09231029,0.05944179,-0.302752147,1000_FGBSBOTHFB
-0.005904854,-0.001395218,0.025938053,0.000672783,0.026600146,0.08328933,0.061442213,-0.320321451,1000_FGBSBOTHFB
-0.006290451,-0.001770055,0.025926974,0.000672208,0.026677625,0.08446302,0.06589435,-0.300610612,1000_FGBSBOTHFB
-0.006165003,-0.001395468,0.025918211,0.000671754,0.026639799,0.08611033,0.057509683,-0.292673819,1000_FGBSBOTHFB
-0.005907214,-0.00117039,0.025896458,0.000670627,0.026560118,0.08283034,0.047722454,-0.325675129,1000_FGBSBOTHFB
-0.006180792,-0.001426464,0.025901874,0.000670907,0.026627568,0.08383188,0.060954431,-0.297253114,1000_FGBSBOTHFB
-0.006712185,-0.002035209,0.025965726,0.000674219,0.026817719,0.08413143,0.069685473,-0.294830216,1000_FGBSBOTHFB
-0.006878644,-0.002313184,0.025804147,0.000665854,0.026703716,0.08659194,0.070190796,-0.276974343,1000_FGBSBOTHFB
-0.006922314,-0.002268761,0.025898321,0.000670723,0.026805962,0.08552239,0.063461466,-0.31886648,1000_FGBSBOTHFB
-0.006510196,-0.001998864,0.025871504,0.000669335,0.0266765,0.08211281,0.055156739,-0.321631583,1000_FGBSBOTHFB
-0.006280305,-0.001645879,0.025872705,0.000669397,0.026622498,0.08456767,0.05504066,-0.303810346,1000_FGBSBOTHFB
-0.006072279,-0.001202895,0.025862061,0.000668846,0.026563831,0.08438645,0.056494098,-0.300604775,1000_FGBSBOTHFB
-0.005684703,-0.001122754,0.025842705,0.000667845,0.02645902,0.08558816,0.053686547,-0.303621183,1000_FGBSBOTHFB
